subCategory,primaryCategory
Physical Aggression,Aggressive/Unsafe Behavior
Verbal Aggression,Aggressive/Unsafe Behavior
Bullying,Aggressive/Unsafe Behavior
Truancy,Attendance Issues
Late Arrival,Attendance Issues
Absense,Attendance Issues
Interrupting,Disruptive Behavior
Defiance,Disruptive Behavior
Talking,Disruptive Behavior
Lack of Participation,Engagement/Participation
Off-Task,Engagement/Participation
Not Completing Assignments,Engagement/Participation
Sleeping in Class,Engagement/Participation
Leadership,Positive Behavior
Consistent Attendance,Positive Behavior
Academic Effort,Positive Behavior
Participation,Positive Behavior
Helping Others,Positive Behavior
Leaving School Grounds Without Permission,Safety and Discipline
Vandalism,Safety and Discipline
Bringing Prohibited Items,Safety and Discipline